trade_num,direction,entry_price,sl,tp,exit_price,pnl,exit_reason,bars_held,rr_ratio
258,long,2630.40,2630.40,2649.76,2649.76,19.36,TP_HIT,39,3.2
259,long,2655.89,2655.89,2675.18,2655.89,0.00,SL_HIT,124,3.2
260,long,2661.43,2655.43,2681.02,2655.43,-6.00,SL_HIT,21,3.3
261,long,2673.21,2667.21,2682.90,2682.90,9.69,TP_HIT,9,1.6
262,long,2673.38,2667.38,2682.53,2667.38,-6.00,SL_HIT,74,1.5
263,long,2673.27,2667.27,2691.28,2667.27,-6.00,SL_HIT,19,3.0
264,long,2668.77,2662.77,2690.16,2662.77,-6.00,SL_HIT,17,3.6
265,long,2650.35,2644.35,2669.22,2644.35,-6.00,SL_HIT,118,3.1
266,long,2638.81,2632.81,2657.01,2632.81,-6.00,SL_HIT,13,3.0
267,long,2642.44,2636.44,2651.54,2651.54,9.10,TP_HIT,63,1.5
268,long,2659.36,2659.36,2681.47,2659.36,0.00,SL_HIT,8,3.7
269,long,2668.20,2662.20,2681.19,2662.20,-6.00,SL_HIT,12,2.2
270,long,2656.28,2650.28,2666.97,2650.28,-6.00,SL_HIT,16,1.8
271,long,2653.28,2647.28,2671.44,2647.28,-6.00,SL_HIT,144,3.0
272,long,2656.25,2650.25,2666.16,2666.16,9.91,TP_HIT,137,1.7
273,long,2657.40,2651.40,2669.20,2669.20,11.80,TP_HIT,3,2.0
274,short,2644.73,2650.73,2634.61,2650.73,-6.00,SL_HIT,23,1.7
275,long,2656.94,2650.94,2665.94,2650.94,-6.00,SL_HIT,26,1.5
276,long,2648.72,2642.72,2668.35,2642.72,-6.00,SL_HIT,8,3.3
277,long,2648.75,2642.75,2657.82,2642.75,-6.00,SL_HIT,9,1.5
278,long,2647.30,2641.30,2656.42,2641.30,-6.00,SL_HIT,8,1.5
279,long,2613.47,2607.47,2622.47,2622.47,9.00,TP_HIT,28,1.5
280,long,2613.77,2607.77,2622.92,2607.77,-6.00,SL_HIT,19,1.5
281,short,2621.79,2627.79,2612.64,2627.79,-6.00,SL_HIT,13,1.5
282,long,2636.29,2636.29,2655.64,2655.64,19.35,TP_HIT,162,3.2
283,long,2648.51,2642.51,2657.62,2657.62,9.11,TP_HIT,22,1.5
284,long,2659.61,2653.61,2668.85,2653.61,-6.00,SL_HIT,58,1.5
285,long,2659.91,2653.91,2669.00,2653.91,-6.00,SL_HIT,3,1.5
286,short,2644.66,2650.66,2625.07,2650.66,-6.00,SL_HIT,31,3.3
287,long,2651.07,2651.07,2673.36,2673.36,22.29,TP_HIT,260,3.7
288,long,2680.40,2674.40,2700.83,2674.40,-6.00,SL_HIT,17,3.4
