trade_num,direction,entry_price,sl,tp,exit_price,pnl,exit_reason,bars_held,rr_ratio
188,long,1347.19,1347.19,1366.93,1359.38,12.19,MAX_HOLD,288,3.3
189,long,1364.20,1364.20,1378.11,1378.11,13.90,TP_HIT,128,2.3
190,long,1380.91,1374.91,1390.47,1374.91,-6.00,SL_HIT,68,1.6
191,short,1361.20,1367.20,1330.90,1367.20,-6.00,SL_HIT,139,5.0
192,long,1346.61,1340.61,1365.21,1340.61,-6.00,SL_HIT,47,3.1
193,long,1334.96,1334.96,1353.14,1334.96,0.00,SL_HIT,151,3.0
194,long,1334.14,1334.14,1352.53,1352.53,18.39,TP_HIT,273,3.1
195,long,1363.45,1357.45,1382.05,1357.45,-6.00,SL_HIT,78,3.1
196,short,1341.66,1347.66,1326.71,1326.71,14.95,TP_HIT,1,2.5
197,long,1353.03,1347.03,1363.95,1363.95,10.92,TP_HIT,95,1.8
198,long,1369.37,1363.37,1380.17,1380.17,10.80,TP_HIT,7,1.8
199,long,1390.30,1384.30,1405.11,1384.30,-6.00,SL_HIT,136,2.5
200,long,1386.37,1380.37,1395.97,1395.97,9.60,TP_HIT,10,1.6
201,long,1398.16,1392.16,1407.81,1407.81,9.64,TP_HIT,20,1.6
202,long,1412.48,1406.48,1422.83,1422.83,10.35,TP_HIT,68,1.7
203,long,1404.71,1398.71,1423.67,1398.71,-6.00,SL_HIT,31,3.2
204,long,1404.19,1398.19,1425.04,1398.19,-6.00,SL_HIT,8,3.5
205,long,1412.27,1406.27,1421.57,1406.27,-6.00,SL_HIT,52,1.5
206,long,1390.38,1384.38,1399.38,1384.38,-6.00,SL_HIT,15,1.5
207,long,1374.37,1368.37,1392.88,1368.37,-6.00,SL_HIT,18,3.1
208,long,1337.96,1331.96,1347.21,1331.96,-6.00,SL_HIT,89,1.5
209,long,1340.99,1334.99,1361.69,1334.99,-6.00,SL_HIT,23,3.5
210,long,1340.45,1334.45,1349.75,1349.75,9.30,TP_HIT,41,1.6
211,short,1352.99,1358.99,1333.94,1358.99,-6.00,SL_HIT,50,3.2
